age,GPA,attendance,course_completion,assignment_delays,LMS_logins,forum_posts,night_study_hours,engagement_score,sentiment_score,motivation,emotional_exhaustion,depersonalization,personal_accomplishment,autonomy,competence,relatedness,O,C,E,A,N,burnout_score,burnout_level,dropout_status,time_to_dropout,gender_M,income_level_Low,income_level_Medium,nationality_DE,nationality_IN,nationality_UK,nationality_US,burnout_level_code
1.2926868201301975,0.6281070180868836,1.1561465064113952,-0.12316731540749339,0.7084651290623266,0.47556223961616056,0.4423988376999976,1.2020524809630286,0.310875595383602,0.23260993768823696,0.7695951087646246,-0.684072904057957,0.767280208356183,1.121680916721314,0.3040600211162578,0.321797897986864,-1.5051932420171732,0.6948037072147103,1.4305480672969353,-0.9618580928084425,-1.2400820268461714,-1.1217803876844217,9,Low,0,72,True,False,True,False,False,True,False,1
-1.0132804522887668,0.9511173340157706,-0.7246113792856658,-1.7468202204613974,0.0002360763509037816,1.510643293194258,-0.434217089050328,-0.11165128042215725,0.21431331998646116,0.4713980188199114,1.8315536574388738,-0.0027932465955957065,0.08165764705139963,0.23274235111339608,1.467554999877448,-0.2618742265358638,1.457396789508558,-0.16508768139444258,1.258607193823746,-0.30787628005846973,-1.1026488980281839,0.9796630951000469,22,Low,1,53,True,True,False,False,False,True,False,1
-0.7250345432363964,-0.1794187717353329,0.004598033184350049,0.705932040364713,0.7084651290623266,0.561818994081002,0.4423988376999976,-0.8245143913907059,0.6516843546485565,-1.4334605711124166,1.3098664516844158,-0.684072904057957,0.2873444154428347,0.16436246145124855,-1.4411824470255274,1.4891421470323194,0.27236077689826554,1.7266733735456938,-0.5983542396866988,1.5852289673756619,1.199356009673108,1.4619615993456627,16,Low,1,46,True,False,True,True,False,False,False,1
-0.7250345432363964,-0.017913613770889417,-0.5335798733745488,-0.8486292517081739,0.0002360763509037816,-0.12823504163772956,1.7573227278254862,0.10365098788626836,0.9211251083208134,0.9194778967781536,-0.18064587515366895,0.33784658213558494,0.9044047206171397,-1.7502744490888822,-1.4411824470255274,1.4891421470323194,-1.5051932420171732,-0.9561877589148633,-1.6643876552204726,-0.03251551679532332,1.4055057029000892,-1.7074285714112407,68,High,0,25,False,False,False,False,True,False,False,0
0.42794909297308587,0.04265082046577644,-0.7096030930055135,0.6713862338742044,0.0002360763509037816,-0.4732620594970953,2.1956306912006487,0.3872603372862104,-0.26565100303638844,-1.2779150512535071,-0.011111845208865528,1.4960219998215991,0.42446892770379135,-1.476754890440292,1.467554999877448,0.9054700225095916,-1.5051932420171732,1.5202994402794971,1.3617717179076594,0.4493658189151829,-1.721097977709128,-0.9150810287220148,74,High,1,21,False,True,False,False,False,False,True,0
0.13970318392071532,0.506978149613551,1.055100599393868,-1.6431828009898717,-0.707992976360519,-2.112140394329083,0.8807068010751604,1.5239437158382443,-1.3760030586858998,-1.5351132593291006,1.351596743875841,1.4960219998215991,0.6987179522257047,-0.38267665584593163,0.3040600211162578,-1.4292184755813193,-1.5051932420171732,-1.16256169218106,0.7083963987095401,-0.17019589842689653,-1.1713654624371777,1.0485628814208492,62,High,0,53,False,True,False,False,True,False,False,0
0.7161950020254565,-0.5226172324097749,1.795730483132057,1.224119137722342,-1.4162220290719418,0.8205892574755264,0.4423988376999976,-0.6788164711001043,1.8864096811863775,1.3983899222496883,-0.12405411741104069,-0.684072904057957,1.4529027696609664,-1.5451347801024395,-0.27768746826433727,0.321797897986864,0.27236077689826554,-0.2682746480275409,-0.2200843180456823,1.2066079178888356,-0.10625871409777404,0.8763134156188436,58,Medium,0,31,True,True,False,True,False,False,False,2
-1.0132804522887668,1.0924343472346583,1.0994116524503814,0.2913823624786098,-1.4162220290719418,0.9931027664052092,-1.3108330158006536,0.48571348788451185,0.19710086212797293,1.1109290575391917,0.8790220200092148,-1.16096866428161,-1.3581497316886455,-0.10915709719734153,1.467554999877448,-0.2618742265358638,0.8648787832034117,-0.7842094811930327,0.22696195298460994,1.3098682041125154,-1.6180231310956372,0.015066086608815478,0,Low,0,7,False,False,True,False,False,False,True,1
-0.4367886341840258,-0.26017135071755465,1.880769893401765,-0.6759002192556309,-0.707992976360519,0.3030487306864777,-1.3108330158006536,0.6028037452628365,-0.6352705814050795,0.5589786236379296,0.9253811580571233,-0.7522008698041931,-1.221025219427689,1.4635803650320516,-0.8594349576449323,-1.4292184755813193,-0.9126752357120269,-1.128166036636694,1.3617717179076594,-0.13577580301900322,-0.17497527850676783,-0.949530921882416,0,Low,0,33,False,False,True,False,False,False,False,1
-1.0132804522887668,1.0520580577435472,0.3743319833515336,-0.39953376733156215,0.7084651290623266,-0.9045458318213025,-0.8725250524254908,-0.5547198235890746,-0.8284423247054898,-0.11144863998071074,-0.6317656909558871,-0.7522008698041931,-1.3581497316886455,-1.2716152214538494,-1.4411824470255274,-0.2618742265358638,-1.5051932420171732,-0.853000792281765,0.9491136215720051,0.3116854372836097,-1.686739695504631,0.0495159797692166,12,Low,1,1,True,False,False,False,True,False,False,1
-0.7250345432363964,-0.13904248224422203,-0.3345373271240751,-0.2613505413695278,-0.707992976360519,1.9419270655184653,0.8807068010751604,0.44168526174511397,0.1475371557486602,-0.4066090357750964,-2.448623261742379,1.0872542053441823,-1.0153384510362538,1.395200475369904,0.8858075104968528,0.9054700225095916,0.27236077689826554,1.4171124736463987,-0.804683287854526,-1.030698283624229,-0.03754214968878026,-0.05383369971198677,5,Low,0,9,False,True,False,False,False,True,False,1
-0.14854272513165526,-0.23998320597199965,-1.4385360287292577,-0.33044215435054497,0.0002360763509037816,0.9068460119403678,1.7573227278254862,1.3536171299416548,2.0610516602714464,1.0351003733188775,0.14381350311512864,-0.8884568012966654,1.0415292328780963,1.0533010270591663,0.8858075104968528,0.9054700225095916,1.457396789508558,1.245134195924568,-0.35763701682423377,1.034507440849369,-0.34676668952925227,0.2906652318920245,11,Low,0,17,False,True,False,True,False,False,False,1
0.42794909297308587,-0.8456275483386618,-0.16160604446949237,1.638668815608445,1.4166941817737495,-0.4732620594970953,0.004090874324834791,0.25133656578382435,-0.758066107444666,-0.4702751086165216,0.6166681120694727,-1.2972245957740822,-0.9467761949057755,0.5746417994241337,-0.8594349576449323,0.321797897986864,-0.3201572294068807,1.1419472292914699,-1.1141768601062667,-0.44555666169004293,0.202965825742698,-1.6385287850904384,0,Low,1,73,False,False,False,True,False,False,False,1
-1.589772270393508,1.132810636725769,-1.1844942299767323,1.6041230091179366,-0.707992976360519,-0.041978287172888096,0.004090874324834791,1.1712053479363478,0.6611549903940925,1.29637404342642,0.23125063526066067,-0.684072904057957,-0.8782139387752971,1.121680916721314,1.467554999877448,-0.2618742265358638,-0.9126752357120269,0.31645149622668306,-1.561223131136559,0.5182060097309695,0.40911551896967935,-0.5705820971180036,0,Low,0,28,False,False,False,False,False,False,True,1
